Characters,Media Source,Gender,Year
Zelda,Legend of Zelda,Fem,2023
Hercules,Disney,Masc,2023
Donkey,Disney,Masc,2023
Gandalf,LOTR,Masc,2023
Non-descript Jedi,Star Wars,NB,2023
Loki,Marvel,NB,2023
Wonder Woman,DC,Fem,2023
Westley,Princess Bride,Masc,2023
Harley Quinn,DC,Fem,2023
Link,Legend of Zelda,Masc,2023
Harley Quinn,DC,Fem,2023
Loki,Marvel,NB,2023
Joker,DC,Masc,2023
Shego,Disney,Fem,2023
Captain America,Marvel,Masc,2023
Midoriya Deku,MHA,Masc,2023
Mona,Genshin Impact,Fem,2023
Joker,DC,Masc,2023
Maleficent,Disney,Fem,2023
Harley Quinn,DC,Fem,2023
Link,Legend of Zelda,Masc,2023
Ahsoka,Star Wars,Fem,2023
Non-descript Jedi,Star Wars,NB,2023
Teenage Mutant Ninja Turtle,Marvel,Masc,2023
Link,Legend of Zelda,Masc,2023
Link,Legend of Zelda,Masc,2023
Megara,Disney,Fem,2023
Harley Quinn,DC,Fem,2023
Spiderman,Marvel,Masc,2023
Link,Legend of Zelda,Masc,2023
Midna,Legend of Zelda,Fem,2023
Fiona,Disney,Fem,2023
Megara,Disney,Fem,2023
Sherrif of Nottingham,Disney,Masc,2023
Superman,DC,Masc,2023
Robin Hood,Disney,Masc,2023
Deadpool,Marvel,Masc,2023
Batman,DC,Masc,2023
Shrek,Disney,Masc,2023
Gandalf,LOTR,Masc,2023
Hades,Disney,Masc,2023
Fiona,Disney,Fem,2023
